,0
1135,CFO
1136,CFPM.BE
1137,CFPM.DU
1138,CFPM.F
1139,CFPM.MU
1140,CFQ1.BE
1141,CFQ1.DU
1142,CFQ1.MU
1143,CFQ5.BE
1144,CFQ5.MU
1145,CFQ9.BE
1146,CFQ9.F
1147,CFQ9.MU
1148,CFQR.BE
1149,CFQR.MU
1150,CGL.TO
1151,CGW
1152,CGXF.TO
1153,CHAD
1154,CHAU
1155,CHB
1156,CHB.TO
1157,CHEP
1158,CHGX
1159,CHIC.L
1160,CHIN.L
1161,CHIN.MI
1162,CHIP.L
1163,CHNA
1164,CI2U.PA
1165,CIBR
1166,CID
1167,CIL
1168,CINC-B.TO
1169,CINESG.MI
1170,CIZ
1171,CJP.NE
1172,CJPU.L
1173,CJPUN.MX
1174,CL54.BE
1175,CLFMF
1176,CLIX
1177,CLOU
1178,CLRG
1179,CLTL
1180,CLWD.MI
1181,CLWD.PA
1182,CLWD.SW
1183,CMBS
1184,CMCU.L
1185,CMDY
1186,CMEX.AS
1187,CMF
1188,CMGB.L
1189,CMR.TO
1190,CMSA
1191,CMSC
1192,CMUD.PA
1193,CMUE-F.TO
1194,CMUE.TO
1195,CMX1.L
1196,CMXC.L
1197,CMXUS.MI
1198,CMXUS.SW
1199,CN
1200,CN1.PA
1201,CN53.BE
1202,CN54.DU
1203,CN54.HM
1204,CNAA.L
1205,CNAL.L
1206,CNBS
1207,CNCR
1208,CNEW.AX
1209,CNFRL
1210,CNKY.L
1211,CNRG
1212,CNUA.F
1213,CNXT
1214,CNYA
1215,COM
1216,COMF.SW
1217,COPX
1218,CORPSI.SW
1219,CORPTRCISHRS.MX
1220,COUK.L
1221,COUK.PA
1222,COV0.MU
1223,COW
1224,COWZ
1225,CPD.TO
1226,CPER
1227,CPJ1.L
1228,CPLCF
1229,CQQQ
1230,CRAK
1231,CRB.MI
1232,CRBN
1233,CRED-U.TO
1234,CRED.TO
1235,CRN.PA
1236,CRNL.L
1237,CRNO.L
1238,CROC
1239,CRP.PA
1240,CRPA.L
1241,CRPH.SW
1242,CRPS.L
1243,CRQ.NE
1244,CRUDN.MX
1245,CS15.VI
1246,CSA
1247,CSB
1248,CSBGE0.SW
1249,CSBGE3.MI
1250,CSBGE3.SW
1251,CSD
1252,CSEMU.SW
1253,CSF
1254,CSH2.L
1255,CSJP.AS
1256,CSJP.L
1257,CSKR.L
1258,CSKR.MI
1259,CSKR.SW
1260,CSKRN.MX
1261,CSM
1262,CSML
1263,CSNDX.MI
1264,CSNDX.SW
1265,CSNKY.SW
1266,CSUSN.MX
1267,CSUSS.MI
1268,CSUSS.SW
1269,CSWE.SW
1270,CSWG.L
1271,CSWU.L
1272,CSX5.AS
1273,CSY.TO
1274,CSY1.DU
1275,CSY1.MU
1276,CSY2.DU
1277,CSY2.MU
1278,CSY5.DU
1279,CSY5.F
1280,CSY5.MU
1281,CSY7.DU
1282,CSY7.F
1283,CSY7.MU
1284,CSY8.F
1285,CSY9.F
1286,CSYZ.F
1287,CTBB
1288,CTDD
1289,CTEC
1290,CUD.TO
1291,CUK.L
1292,CUKS.L
1293,CUKX.L
1294,CURE
1295,CUT
1296,CVD.TO
1297,CVY
1298,CWB
1299,CWE.MI
1300,CWEB
1301,CWF.MI
1302,CWF.PA
1303,CWFE.SW
1304,CWFG.L
1305,CWFU.L
1306,CWFU.PA
1307,CWFUSD.SW
1308,CWI
1309,CWO.NE
1310,CWS
1311,CWW.TO
1312,CXAP.L
1313,CXAS.L
1314,CXAU.L
1315,CXF.TO
1316,CXSE
1317,CXSE.MX
1318,CXW1.HA
1319,CXW1.HM
1320,CXW6.BE
1321,CXW6.DU
1322,CXW6.F
1323,CXW6.HA
1324,CXW6.HM
1325,CXW6.MU
1326,CXW8.HM
1327,CXW9.MU
1328,CXWC.F
1329,CXWD.F
1330,CXWE.F
1331,CXWK.F
1332,CYB
1333,CYH.TO
1334,CZ2.BE
1335,CZA
1336,CZI
1337,CZX.DE
1338,CZX.F
1339,D04A.BE
1340,D04A.MU
1341,D1J1.BE
1342,D1J1.DU
1343,D1J1.HM
1344,D1J1.MU
1345,D1WA.DU
1346,D1WA.MU
1347,D2W8.HM
1348,D3N.BE
1349,D3N.F
1350,D5BA.F
1351,D5BA.MU
1352,D5VC.BE
1353,D5VC.HM
1354,D5VG.BE
1355,D5VQ.BE
1356,D5VR.BE
1357,D5VR.F
1358,D5VR.MU
1359,D5VT.MU
1360,D5Y1.BE
1361,D5Y1.DU
1362,D5Y1.MU
1363,D6R0.MU
1364,D6R7.F
1365,D6RC.DU
1366,D6RC.HM
1367,D6RC.MU
1368,D6RK.BE
1369,D6RK.DU
1370,D6RK.F
1371,D6RK.MU
1372,DALI
1373,DALT
1374,DATA-B.TO
1375,DAUG
1376,DAX
1377,DAX.PA
1378,DB25.VI
1379,DB38.VI
1380,DB43.VI
1381,DB44.VI
1382,DB47.VI
